Model,RAG,Temperature,Top N,Threshold,Accuracy
phi2,,-1,,,39.89
phi2,,0.1,,,40.16
phi2,,0.2,,,37.16
phi2,,0.3,,,37.7
phi2,,0.4,,,33.33
phi2,,0.5,,,38.8
phi2,,0.6,,,39.34
phi2,,0.7,,,35.52
phi2,,0.8,,,31.42
phi2,,0.9,,,30.33
phi2,,1.0,,,30.33
phi2,x,-1,1,0.0,48.09
phi2,x,-1,1,0.1,47.81
phi2,x,-1,1,0.2,47.54
phi2,x,-1,1,0.3,45.63
phi2,x,-1,1,0.4,40.16
phi2,x,-1,1,0.5,39.34
phi2,x,-1,1,0.6,39.89
phi2,x,-1,1,0.7,39.89
phi2,x,-1,1,0.8,39.89
phi2,x,-1,1,0.9,39.89
phi2,x,-1,1,1.0,39.89
phi2,x,-1,2,0.0,50.0
phi2,x,-1,2,0.1,50.0
phi2,x,-1,2,0.2,50.0
phi2,x,-1,2,0.3,47.81
phi2,x,-1,2,0.4,41.8
phi2,x,-1,2,0.5,40.16
phi2,x,-1,2,0.6,39.89
phi2,x,-1,2,0.7,39.89
phi2,x,-1,2,0.8,39.89
phi2,x,-1,2,0.9,39.89
phi2,x,-1,2,1.0,39.89
phi2,x,-1,3,0.0,51.09
phi2,x,-1,3,0.1,51.09
phi2,x,-1,3,0.2,51.09
phi2,x,-1,3,0.3,48.36
phi2,x,-1,3,0.4,42.9
phi2,x,-1,3,0.5,39.62
phi2,x,-1,3,0.6,39.62
phi2,x,-1,3,0.7,39.89
phi2,x,-1,3,0.8,39.89
phi2,x,-1,3,0.9,39.89
phi2,x,-1,3,1.0,39.89
phi2,x,-1,4,0.0,53.01
phi2,x,-1,4,0.1,53.01
phi2,x,-1,4,0.2,52.73
phi2,x,-1,4,0.3,51.09
phi2,x,-1,4,0.4,43.17
phi2,x,-1,4,0.5,39.89
phi2,x,-1,4,0.6,39.34
phi2,x,-1,4,0.7,39.89
phi2,x,-1,4,0.8,39.89
phi2,x,-1,4,0.9,39.89
phi2,x,-1,4,1.0,39.89
phi2,x,0.1,1,0.0,47.27
phi2,x,0.1,1,0.1,50.27
phi2,x,0.1,1,0.2,50.0
phi2,x,0.1,1,0.3,48.09
phi2,x,0.1,1,0.4,40.44
phi2,x,0.1,1,0.5,39.07
phi2,x,0.1,1,0.6,41.53
phi2,x,0.1,1,0.7,40.44
phi2,x,0.1,1,0.8,37.98
phi2,x,0.1,1,0.9,39.62
phi2,x,0.1,1,1.0,40.16
phi2,x,0.1,2,0.0,50.82
phi2,x,0.1,2,0.1,51.91
phi2,x,0.1,2,0.2,50.0
phi2,x,0.1,2,0.3,50.0
phi2,x,0.1,2,0.4,42.9
phi2,x,0.1,2,0.5,39.89
phi2,x,0.1,2,0.6,39.89
phi2,x,0.1,2,0.7,40.98
phi2,x,0.1,2,0.8,39.34
phi2,x,0.1,2,0.9,41.8
phi2,x,0.1,2,1.0,40.44
phi2,x,0.1,3,0.0,51.91
phi2,x,0.1,3,0.1,51.37
phi2,x,0.1,3,0.2,50.27
phi2,x,0.1,3,0.3,50.82
phi2,x,0.1,3,0.4,44.26
phi2,x,0.1,3,0.5,38.52
phi2,x,0.1,3,0.6,40.44
phi2,x,0.1,3,0.7,40.16
phi2,x,0.1,3,0.8,40.44
phi2,x,0.1,3,0.9,38.8
phi2,x,0.1,3,1.0,40.44
phi2,x,0.1,4,0.0,51.64
phi2,x,0.1,4,0.1,51.91
phi2,x,0.1,4,0.2,50.55
phi2,x,0.1,4,0.3,49.45
phi2,x,0.1,4,0.4,42.35
phi2,x,0.1,4,0.5,38.52
phi2,x,0.1,4,0.6,40.44
phi2,x,0.1,4,0.7,40.71
phi2,x,0.1,4,0.8,39.07
phi2,x,0.1,4,0.9,40.44
phi2,x,0.1,4,1.0,41.26
phi2,x,0.2,1,0.0,48.09
phi2,x,0.2,1,0.1,48.36
phi2,x,0.2,1,0.2,48.91
phi2,x,0.2,1,0.3,43.99
phi2,x,0.2,1,0.4,39.07
phi2,x,0.2,1,0.5,40.44
phi2,x,0.2,1,0.6,39.89
phi2,x,0.2,1,0.7,38.8
phi2,x,0.2,1,0.8,38.8
phi2,x,0.2,1,0.9,38.8
phi2,x,0.2,1,1.0,37.16
phi2,x,0.2,2,0.0,50.55
phi2,x,0.2,2,0.1,47.27
phi2,x,0.2,2,0.2,50.55
phi2,x,0.2,2,0.3,47.27
phi2,x,0.2,2,0.4,43.44
phi2,x,0.2,2,0.5,39.62
phi2,x,0.2,2,0.6,39.62
phi2,x,0.2,2,0.7,39.34
